lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.003254500,seconds,2026-04-20T22:45:34Z
cold-start,sqlite-leap-rust,0.003515208,seconds,2026-04-20T22:45:35Z
cold-start,sqlite-mainline,0.007846917,seconds,2026-04-20T22:45:35Z
cold-start,turso,NA,missing-binary,2026-04-20T22:45:35Z
parse-speed,sqlite-leap-c,29302931,bytes_per_second,2026-04-20T22:45:38Z
parse-speed,sqlite-leap-rust,207388807,bytes_per_second,2026-04-20T22:45:39Z
parse-speed,sqlite-mainline,6421897,bytes_per_second,2026-04-20T22:45:49Z
parse-speed,turso,NA,missing-binary,2026-04-20T22:45:49Z
select-in-memory,sqlite-leap-c,786449,selects_per_second,2026-04-20T22:45:50Z
select-in-memory,sqlite-leap-rust,4971929,selects_per_second,2026-04-20T22:45:51Z
select-in-memory,sqlite-mainline,504781,selects_per_second,2026-04-20T22:45:52Z
select-in-memory,turso,NA,missing-binary,2026-04-20T22:45:52Z
insert-throughput,sqlite-leap-c,716469,inserts_per_second,2026-04-20T22:45:54Z
insert-throughput,sqlite-leap-rust,2688611,inserts_per_second,2026-04-20T22:45:55Z
insert-throughput,sqlite-mainline,638392,inserts_per_second,2026-04-20T22:45:56Z
insert-throughput,turso,NA,missing-binary,2026-04-20T22:45:56Z
binary-size,sqlite-leap-c,412704,bytes,2026-04-20T22:45:56Z
binary-size,sqlite-leap-rust,1108880,bytes,2026-04-20T22:45:56Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-20T22:45:56Z
binary-size,turso,NA,missing-binary,2026-04-20T22:45:56Z
memory-footprint,sqlite-leap-c,1654784,bytes,2026-04-20T22:45:56Z
memory-footprint,sqlite-leap-rust,2113536,bytes,2026-04-20T22:45:56Z
memory-footprint,sqlite-mainline,2719744,bytes,2026-04-20T22:45:57Z
memory-footprint,turso,NA,missing-binary,2026-04-20T22:45:57Z
