lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.003212354,seconds,2026-04-20T23:35:50Z
cold-start,sqlite-leap-rust,0.003469833,seconds,2026-04-20T23:35:50Z
cold-start,sqlite-mainline,0.008659563,seconds,2026-04-20T23:35:51Z
cold-start,turso,0.010987563,seconds,2026-04-20T23:35:51Z
parse-speed,sqlite-leap-c,NA,pending-contended-host-remeasure,2026-04-20T23:57:00Z
parse-speed,sqlite-leap-rust,31140353,bytes_per_second,2026-04-20T23:57:09Z
parse-speed,sqlite-mainline,6399394,bytes_per_second,2026-04-20T23:47:30Z
parse-speed,turso,1330911,bytes_per_second,2026-04-20T23:48:20Z
select-in-memory,sqlite-leap-c,6265,selects_per_second,2026-04-20T23:49:58Z
select-in-memory,sqlite-leap-rust,4522,selects_per_second,2026-04-20T23:52:14Z
select-in-memory,sqlite-mainline,500822,selects_per_second,2026-04-20T23:52:15Z
select-in-memory,turso,102886,selects_per_second,2026-04-20T23:52:21Z
insert-throughput,sqlite-leap-c,20075,inserts_per_second,2026-04-20T23:52:52Z
insert-throughput,sqlite-leap-rust,37997,inserts_per_second,2026-04-20T23:53:08Z
insert-throughput,sqlite-mainline,695890,inserts_per_second,2026-04-20T23:53:09Z
insert-throughput,turso,202279,inserts_per_second,2026-04-20T23:53:12Z
binary-size,sqlite-leap-c,412704,bytes,2026-04-20T23:53:12Z
binary-size,sqlite-leap-rust,1125552,bytes,2026-04-20T23:53:12Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-20T23:53:12Z
binary-size,turso,13486168,bytes,2026-04-20T23:53:12Z
memory-footprint,sqlite-leap-c,1671168,bytes,2026-04-20T23:53:13Z
memory-footprint,sqlite-leap-rust,2113536,bytes,2026-04-20T23:53:13Z
memory-footprint,sqlite-mainline,2719744,bytes,2026-04-20T23:53:13Z
memory-footprint,turso,16728064,bytes,2026-04-20T23:53:14Z
