lane,target,value,units,timestamp
cold-start,sqlite-mainline,0.015723667,seconds,2026-04-20T23:45:31Z
cold-start,turso,0.020913354,seconds,2026-04-20T23:45:33Z
cold-start,turso-core,0.009815583,seconds,2026-04-20T23:45:34Z
cold-start,sqlite-leap-c,0.003417104,seconds,2026-04-20T23:45:43Z
cold-start,sqlite-leap-rust,0.003451375,seconds,2026-04-20T23:45:43Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-20T23:45:31Z
binary-size,turso,13486168,bytes,2026-04-20T23:45:33Z
binary-size,turso-core,6330224,bytes,2026-04-20T23:45:34Z
binary-size,sqlite-leap-c,412704,bytes,2026-04-20T23:45:43Z
binary-size,sqlite-leap-rust,1125552,bytes,2026-04-20T23:45:43Z
memory-footprint,sqlite-mainline,2752512,bytes,2026-04-20T23:45:32Z
memory-footprint,turso,16728064,bytes,2026-04-20T23:45:33Z
memory-footprint,turso-core,9338880,bytes,2026-04-20T23:45:34Z
memory-footprint,sqlite-leap-c,1671168,bytes,2026-04-20T23:45:43Z
memory-footprint,sqlite-leap-rust,2113536,bytes,2026-04-20T23:45:44Z
parse-speed,turso-core,NA,pending-harness-fix,2026-04-20T23:45:34Z
select-in-memory,turso-core,NA,pending-harness-fix,2026-04-20T23:45:34Z
insert-throughput,turso-core,NA,pending-harness-fix,2026-04-20T23:45:34Z
