lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.000538625,seconds,2026-04-26T20:28:39Z
cold-start,sqlite-leap-rust,0.000421398,seconds,2026-04-26T20:28:39Z
cold-start,sqlite-mainline,0.001694913,seconds,2026-04-26T20:28:39Z
parse-speed,sqlite-leap-c,15316253,bytes_per_second,2026-04-26T20:28:43Z
parse-speed,sqlite-leap-rust,13141670,bytes_per_second,2026-04-26T20:28:48Z
parse-speed,sqlite-mainline,5842644246,bytes_per_second,2026-04-26T20:28:48Z
select-in-memory,sqlite-leap-c,988149,selects_per_second,2026-04-26T20:28:49Z
select-in-memory,sqlite-leap-rust,1189409,selects_per_second,2026-04-26T20:28:50Z
select-in-memory,sqlite-mainline,56341551,selects_per_second,2026-04-26T20:28:50Z
insert-throughput,sqlite-leap-c,42605,inserts_per_second,2026-04-26T20:29:04Z
insert-throughput,sqlite-leap-rust,38341,inserts_per_second,2026-04-26T20:29:20Z
insert-throughput,sqlite-leap-zig,132010,inserts_per_second,2026-04-26T20:29:24Z
insert-throughput,sqlite-leap-go,344156,inserts_per_second,2026-04-26T20:29:26Z
insert-throughput,sqlite-leap-python,7610,inserts_per_second,2026-04-26T20:31:01Z
insert-throughput,sqlite-mainline,35158690,inserts_per_second,2026-04-26T20:31:01Z
binary-size,sqlite-leap-c,473928,bytes,2026-04-26T20:31:01Z
binary-size,sqlite-leap-rust,1699320,bytes,2026-04-26T20:31:01Z
binary-size,sqlite-leap-zig,7997600,bytes,2026-04-26T20:31:01Z
binary-size,sqlite-leap-go,4195887,bytes,2026-04-26T20:31:01Z
binary-size,sqlite-leap-python,21119,bytes,2026-04-26T20:31:01Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-26T20:31:01Z
memory-footprint,sqlite-leap-c,2621440,bytes,2026-04-26T20:31:01Z
memory-footprint,sqlite-leap-rust,2097152,bytes,2026-04-26T20:31:01Z
memory-footprint,sqlite-mainline,3407872,bytes,2026-04-26T20:31:01Z
