Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.03      6.54     6.54 576562842     0.00     0.00  leap_opcode_rows_execute
  9.70     10.76     4.22 3353966089     0.00     0.00  leap_vdbe_dispatch
  6.07     13.40     2.64 4871530138     0.00     0.00  leap_vdbe_state_cursor_is_open
  5.75     15.90     2.50    38375     0.07     1.12  leap_vdbe_execute_program
  5.68     18.37     2.47 4173489708     0.00     0.00  value_clone
  5.42     20.73     2.36 1957925339     0.00     0.00  value_release
  5.38     23.07     2.34 6252543042     0.00     0.00  leap_vdbe_state_set_register
  5.31     25.38     2.31 4173373638     0.00     0.00  leap_storage_cursor_column
  5.15     27.62     2.24 1391376501     0.00     0.00  leap_opcode_core_execute
  4.80     29.71     2.09 4173399410     0.00     0.00  register_in_range
  4.64     31.73     2.02 4871530138     0.00     0.00  leap_vdbe_state_cursor_borrow
  3.91     33.43     1.70 2772182681     0.00     0.00  register_in_range
  3.63     35.01     1.58 6945582289     0.00     0.00  leap_vdbe_state_num_registers
  2.87     36.26     1.25 4178536148     0.00     0.00  continue_outcome
  1.86     37.07     0.81 693019930     0.00     0.00  leap_opcode_expr_execute
  1.84     37.87     0.80 3465183037     0.00     0.00  leap_vdbe_state_get_register
  1.77     38.64     0.77 1386149474     0.00     0.00  value_clone
  1.70     39.38     0.74 693006816     0.00     0.00  eval_binop
  1.56     40.06     0.68                             _init
  1.22     40.59     0.53 348568197     0.00     0.00  compare_affinity
  0.99     41.02     0.43 695562273     0.00     0.00  leap_storage_cursor_next
  0.90     41.41     0.39 1391337928     0.00     0.00  continue_outcome
  0.90     41.80     0.39 1386026746     0.00     0.00  leap_value_is_null
  0.85     42.17     0.37 693006816     0.00     0.00  leap_opcode_control_execute
  0.57     42.42     0.25 697149508     0.00     0.00  coerce_numeric
  0.53     42.65     0.23 1045704591     0.00     0.00  scalar_quote
  0.51     42.87     0.22 348568197     0.00     0.00  binop_cmp
  0.44     43.06     0.19 693006816     0.00     0.00  leap_value_is_truthy
  0.28     43.18     0.12 698156500     0.00     0.00  leap_vdbe_state_cursor_mut
  0.25     43.29     0.11 693019930     0.00     0.00  continue_outcome
  0.21     43.38     0.09 344438619     0.00     0.00  v_null
  0.14     43.44     0.06 348568197     0.00     0.00  v_int
  0.05     43.46     0.02  2620200     0.00     0.00  table_pk_index_insert
  0.02     43.47     0.01 693006223     0.00     0.00  jump_to
  0.02     43.48     0.01  2594227     0.00     0.00  leap_vdbe_state_db
  0.02     43.49     0.01  1098716     0.00     0.00  eq_ignore_ascii_ptr
  0.02     43.50     0.01   128673     0.00     0.00  leap_compiler_expr_compile_compile_expr
  0.02     43.51     0.01    13229     0.00     0.00  leap_compiler_select_compile_compile_select_with_db
  0.00     43.51     0.00 692993990     0.00     0.00  jump_to
  0.00     43.51     0.00  4921566     0.00     0.00  leap_column_schema_release
  0.00     43.51     0.00  4441972     0.00     0.00  ascii_tolower
  0.00     43.51     0.00  3291324     0.00     0.00  advance
  0.00     43.51     0.00  2594290     0.00     0.00  open_cursor_impl
  0.00     43.51     0.00  2594227     0.00     0.00  leap_storage_close_cursor
  0.00     43.51     0.00  2594227     0.00     0.00  leap_storage_open_read_cursor
  0.00     43.51     0.00  2594227     0.00     0.00  leap_vdbe_state_set_cursor
  0.00     43.51     0.00  2594227     0.00     0.00  leap_vdbe_state_take_cursor
  0.00     43.51     0.00  2568455     0.00     0.00  leap_storage_cursor_rewind
  0.00     43.51     0.00  1739000     0.00     0.00  ic_tolower
  0.00     43.51     0.00  1666854     0.00     0.00  leap_storage_database_table_at
  0.00     43.51     0.00  1573180     0.00     0.00  ascii_lower
  0.00     43.51     0.00  1185504     0.00     0.00  err_at
  0.00     43.51     0.00  1034611     0.00     0.00  tv_push
  0.00     43.51     0.00   918139     0.00     0.00  err_at
  0.00     43.51     0.00   872488     0.00     0.00  pk_registry_clear.constprop.0
  0.00     43.51     0.00   833427     0.00     0.00  leap_storage_database_table_pk_at
  0.00     43.51     0.00   820261     0.00     0.00  leap_column_schema_list_release
  0.00     43.51     0.00   820261     0.00     0.00  leap_table_schema_release
  0.00     43.51     0.00   747900     0.00     0.00  ic_map_unop
  0.00     43.51     0.00   740876     0.00     0.00  err_at
  0.00     43.51     0.00   661102     0.00     0.00  leap_opcode_list_push
  0.00     43.51     0.00   606809     0.00     0.00  ok_sentinel
  0.00     43.51     0.00   600194     0.00     0.00  unit_kind
  0.00     43.51     0.00   464216     0.00     0.00  ic_eq_ptr
  0.00     43.51     0.00   464152     0.00     0.00  ascii_iequal
  0.00     43.51     0.00   448142     0.00     0.00  kw_lookup
  0.00     43.51     0.00   435590     0.00     0.00  is_ok
  0.00     43.51     0.00   434417     0.00     0.00  text_kind
  0.00     43.51     0.00   270702     0.00     0.00  value_release
  0.00     43.51     0.00   263016     0.00     0.00  leap_text_release_local
  0.00     43.51     0.00   243852     0.00     0.00  infix_lookup
  0.00     43.51     0.00   243456     0.00     0.00  leap_expr_release
  0.00     43.51     0.00   239457     0.00     0.00  emitter_note_reg
  0.00     43.51     0.00   226854     0.00     0.00  emitter_push
  0.00     43.51     0.00   217595     0.00     0.00  parse_prefix
  0.00     43.51     0.00   211487     0.00     0.00  err_ok
  0.00     43.51     0.00   191688     0.00     0.00  leap_opcode_list_append
  0.00     43.51     0.00   191338     0.00     0.00  parse_bp
  0.00     43.51     0.00   171221     0.00     0.00  leap_parser_expr_parse_expr
  0.00     43.51     0.00   164689     0.00     0.00  expand_joined_projection
  0.00     43.51     0.00   144323     0.00     0.00  leap_text_from_borrowed
  0.00     43.51     0.00   144323     0.00     0.00  leap_text_release_local
  0.00     43.51     0.00   118104     0.00     0.00  column_list_push
  0.00     43.51     0.00   118104     0.00     0.00  expr_list_push
  0.00     43.51     0.00   116070     0.00     0.00  schema_has_column
  0.00     43.51     0.00    92439     0.00     0.00  xstrdup_view
  0.00     43.51     0.00    89983     0.00     0.00  ascii_iequal
  0.00     43.51     0.00    75618     0.00     0.00  emitter_bind_here
  0.00     43.51     0.00    75618     0.00     0.00  emitter_fresh_label
  0.00     43.51     0.00    75618     0.00     0.00  emitter_push_with_patch
  0.00     43.51     0.00    72235     0.00     0.00  expr_heap_dup
  0.00     43.51     0.00    72235     0.00     0.00  leap_expr_destroy
  0.00     43.51     0.00    65952     0.00     0.00  release_optional_expr
  0.00     43.51     0.00    65653     0.00     0.00  classify
  0.00     43.51     0.00    64207     0.00     0.00  leap_opcode_list_release
  0.00     43.51     0.00    63417     0.00     0.00  sc_cte_lookup
  0.00     43.51     0.00    51262     0.00     0.00  join_source_list_push
  0.00     43.51     0.00    50837     0.00     0.00  flatten_from
  0.00     43.51     0.00    50412     0.00     0.00  compile_expr_in_multi
  0.00     43.51     0.00    50412     0.00     0.00  emitter_append_list
  0.00     43.51     0.00    39511     0.00     0.00  leap_parser_tokenize
  0.00     43.51     0.00    39511     0.00     0.00  leap_parser_tokens_release
  0.00     43.51     0.00    39316     0.00     0.00  leap_text_dup
  0.00     43.51     0.00    39287     0.00     0.00  leap_table_ref_release
  0.00     43.51     0.00    38375     0.00     0.00  halt_ok_outcome
  0.00     43.51     0.00    38375     0.00     0.00  leap_vdbe_state_destroy
  0.00     43.51     0.00    38375     0.00     0.00  leap_vdbe_state_new
  0.00     43.51     0.00    38375     0.00     0.00  vdbe_state_deinit
  0.00     43.51     0.00    38375     0.00     0.00  vdbe_state_init
  0.00     43.51     0.00    26659     0.00     0.00  leap_projection_item_release
  0.00     43.51     0.00    26659     0.00     0.00  parse_projection_item
  0.00     43.51     0.00    26659     0.00     0.00  projection_list_push
  0.00     43.51     0.00    26458     0.00     0.00  leap_storage_database_table_count
  0.00     43.51     0.00    26282     0.00     0.00  catalog_find
  0.00     43.51     0.00    26259     0.00     0.00  leap_text_from_borrowed
  0.00     43.51     0.00    26259     0.00     0.00  leap_text_release
  0.00     43.51     0.00    26259     0.00     0.00  parse_table_atom
  0.00     43.51     0.00    26219     0.00     0.00  err_ok
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_column_list_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_row_list_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_row_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_stmt_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_parser_insert_stmt_parse_insert
  0.00     43.51     0.00    26219     0.00     0.00  leap_result_column_list_release
  0.00     43.51     0.00    26219     0.00     0.00  release_expr_list
  0.00     43.51     0.00    26219     0.00     0.00  row_list_push
  0.00     43.51     0.00    26219     0.00     1.10  run_insert
  0.00     43.51     0.00    26059     0.00     0.00  sc_schema_lookup
  0.00     43.51     0.00    26056     0.00     0.00  leap_table_ref_destroy
  0.00     43.51     0.00    25835     0.00     0.00  table_pk_index_reserve
  0.00     43.51     0.00    25835     0.00     0.00  table_rowids_reserve
  0.00     43.51     0.00    25835     0.00     0.00  table_rows_reserve
  0.00     43.51     0.00    25772     0.00     0.00  leap_compile_insert_ok_release
  0.00     43.51     0.00    25772     0.00     0.00  leap_compiler_insert_compile_compile_insert
  0.00     43.51     0.00    25772     0.00     0.00  leap_compiler_insert_compile_compile_insert_with_source
  0.00     43.51     0.00    25772     0.00     0.00  leap_storage_cursor_insert_row
  0.00     43.51     0.00    25772     0.00     0.00  leap_storage_open_write_cursor
  0.00     43.51     0.00    25772     0.00     0.00  pk_index_lower_bound
  0.00     43.51     0.00    25772     0.00     0.00  row_release
  0.00     43.51     0.00    25631     0.00     0.00  join_source_list_init
  0.00     43.51     0.00    25631     0.00     0.00  join_source_list_release
