lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.003511000,seconds,2026-04-28T03:36:24Z
cold-start,sqlite-leap-rust,0.003414625,seconds,2026-04-28T03:36:24Z
cold-start,sqlite-leap-go,NA,missing-binary,2026-04-28T03:36:25Z
cold-start,sqlite-mainline,0.009171187,seconds,2026-04-28T03:36:25Z
cold-start,turso,0.011018354,seconds,2026-04-28T03:36:26Z
cold-start,turso-core,0.006100313,seconds,2026-04-28T03:36:26Z
parse-speed,sqlite-leap-c,10661651,bytes_per_second,2026-04-28T03:36:32Z
parse-speed,sqlite-leap-rust,642019,bytes_per_second,2026-04-28T03:38:10Z
parse-speed,sqlite-leap-go,NA,missing-binary,2026-04-28T03:38:10Z
parse-speed,sqlite-mainline,2803179,bytes_per_second,2026-04-28T03:38:33Z
parse-speed,turso,300082,bytes_per_second,2026-04-28T03:42:03Z
select-in-memory,sqlite-leap-c,1075620,selects_per_second,2026-04-28T03:42:04Z
select-in-memory,sqlite-leap-rust,765295,selects_per_second,2026-04-28T03:42:05Z
select-in-memory,sqlite-leap-go,NA,missing-binary,2026-04-28T03:42:05Z
select-in-memory,sqlite-mainline,498154,selects_per_second,2026-04-28T03:42:06Z
select-in-memory,turso,102458,selects_per_second,2026-04-28T03:42:12Z
insert-throughput,sqlite-leap-c,172311,inserts_per_second,2026-04-28T03:42:16Z
insert-throughput,sqlite-leap-rust,74247,inserts_per_second,2026-04-28T03:42:24Z
insert-throughput,sqlite-leap-zig,29871,inserts_per_second,2026-04-28T03:42:45Z
insert-throughput,sqlite-leap-go,NA,missing-binary,2026-04-28T03:42:45Z
insert-throughput,sqlite-leap-python,1599,inserts_per_second,2026-04-28T03:49:03Z
insert-throughput,sqlite-mainline,690793,inserts_per_second,2026-04-28T03:49:04Z
insert-throughput,turso,202730,inserts_per_second,2026-04-28T03:49:07Z
binary-size,sqlite-leap-c,369672,bytes,2026-04-28T03:49:07Z
binary-size,sqlite-leap-rust,1984304,bytes,2026-04-28T03:49:07Z
binary-size,sqlite-leap-zig,1171800,bytes,2026-04-28T03:49:07Z
binary-size,sqlite-leap-go,NA,missing-binary,2026-04-28T03:49:07Z
binary-size,sqlite-leap-python,21134,bytes,2026-04-28T03:49:08Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-28T03:49:08Z
binary-size,turso,13486168,bytes,2026-04-28T03:49:08Z
binary-size,turso-core,6330224,bytes,2026-04-28T03:49:08Z
memory-footprint,sqlite-leap-c,2097152,bytes,2026-04-28T03:49:08Z
memory-footprint,sqlite-leap-rust,1982464,bytes,2026-04-28T03:49:08Z
memory-footprint,sqlite-leap-go,NA,missing-binary,2026-04-28T03:49:08Z
memory-footprint,sqlite-mainline,2703360,bytes,2026-04-28T03:49:08Z
memory-footprint,turso,16760832,bytes,2026-04-28T03:49:09Z
memory-footprint,turso-core,9306112,bytes,2026-04-28T03:49:09Z
select-in-memory,sqlite-leap-zig,1258740,selects_per_second,2026-04-28T04:03:21Z
memory-footprint,sqlite-leap-zig,1867776,bytes,2026-04-28T04:03:21Z
cold-start,sqlite-leap-go,0.004226479,seconds,2026-04-28T04:03:22Z
select-in-memory,sqlite-leap-go,1078430,selects_per_second,2026-04-28T04:03:22Z
memory-footprint,sqlite-leap-go,5226496,bytes,2026-04-28T04:03:23Z
insert-throughput,sqlite-leap-go,321151,inserts_per_second,2026-04-28T04:03:25Z
binary-size,sqlite-leap-go,4604626,bytes,2026-04-28T04:03:25Z
cold-start,sqlite-leap-python,0.156113500,seconds,2026-04-28T04:03:30Z
select-in-memory,sqlite-leap-python,44824,selects_per_second,2026-04-28T04:03:44Z
memory-footprint,sqlite-leap-python,24379392,bytes,2026-04-28T04:03:45Z
