lane,target,value,units,elapsed_s,statements,errors,timestamp
parse-speed,sqlite-mainline,142235,statements_per_second,0.184229,26204,131169,2026-04-28T18:16:55Z
parse-speed,sqlite-leap-rust,2342,statements_per_second,67.162460,157307,39124,2026-04-28T18:18:02Z
parse-speed,sqlite-leap-c,2458,statements_per_second,63.992359,157307,52122,2026-04-28T18:19:07Z
parse-speed,sqlite-leap-zig,458859,statements_per_second,0.342822,157307,65332,2026-04-28T18:19:07Z
parse-speed,sqlite-leap-go,514992,statements_per_second,0.305455,157307,65332,2026-04-28T18:19:07Z
select-in-memory,sqlite-mainline,598571,selects_per_second,0.167064,100000,0,2026-04-28T18:19:07Z
select-in-memory,sqlite-leap-rust,679946,selects_per_second,0.147070,100000,0,2026-04-28T18:19:08Z
select-in-memory,sqlite-leap-c,920399,selects_per_second,0.108648,100000,0,2026-04-28T18:19:08Z
select-in-memory,sqlite-leap-zig,1193228,selects_per_second,0.083806,100000,0,2026-04-28T18:19:08Z
select-in-memory,sqlite-leap-go,555508,selects_per_second,0.180015,100000,0,2026-04-28T18:19:08Z
select-in-memory,sqlite-leap-python,12439,selects_per_second,8.038632,100000,0,2026-04-28T18:19:17Z
insert-throughput,sqlite-mainline,656287,inserts_per_second,0.152380,100005,0,2026-04-28T18:19:17Z
insert-throughput,sqlite-leap-rust,369309,inserts_per_second,0.270789,100005,0,2026-04-28T18:19:18Z
insert-throughput,sqlite-leap-c,544084,inserts_per_second,0.183804,100005,0,2026-04-28T18:19:18Z
insert-throughput,sqlite-leap-zig,1011697,inserts_per_second,0.098849,100005,0,2026-04-28T18:19:18Z
insert-throughput,sqlite-leap-go,439767,inserts_per_second,0.227405,100005,0,2026-04-28T18:19:19Z
insert-throughput,sqlite-leap-python,11543,inserts_per_second,8.663002,100005,0,2026-04-28T18:19:28Z
