lane,target,value,units,elapsed_s,statements,errors,timestamp
parse-speed,sqlite-mainline,142494,statements_per_second,0.183894,26204,131169,2026-04-28T17:47:01Z
parse-speed,sqlite-leap-rust,2313,statements_per_second,68.001417,157307,39124,2026-04-28T17:48:09Z
parse-speed,sqlite-leap-c,2459,statements_per_second,63.949804,157307,52122,2026-04-28T17:49:13Z
parse-speed,sqlite-leap-zig,458465,statements_per_second,0.343116,157307,65332,2026-04-28T17:49:14Z
parse-speed,sqlite-leap-go,545307,statements_per_second,0.288474,157307,65332,2026-04-28T17:49:14Z
select-in-memory,sqlite-mainline,600922,selects_per_second,0.166411,100000,0,2026-04-28T17:49:14Z
select-in-memory,sqlite-leap-rust,679354,selects_per_second,0.147199,100000,0,2026-04-28T17:49:14Z
select-in-memory,sqlite-leap-c,934236,selects_per_second,0.107039,100000,0,2026-04-28T17:49:15Z
select-in-memory,sqlite-leap-zig,1223621,selects_per_second,0.081725,100000,0,2026-04-28T17:49:15Z
select-in-memory,sqlite-leap-go,595546,selects_per_second,0.167913,100000,0,2026-04-28T17:49:15Z
select-in-memory,sqlite-leap-python,12408,selects_per_second,8.059154,100000,0,2026-04-28T17:49:24Z
insert-throughput,sqlite-mainline,656211,inserts_per_second,0.152398,100005,0,2026-04-28T17:49:24Z
insert-throughput,sqlite-leap-rust,371758,inserts_per_second,0.269005,100005,0,2026-04-28T17:49:24Z
insert-throughput,sqlite-leap-c,1225436,inserts_per_second,0.081608,100005,0,2026-04-28T17:49:25Z
insert-throughput,sqlite-leap-zig,995349,inserts_per_second,0.100472,100005,0,2026-04-28T17:49:25Z
insert-throughput,sqlite-leap-go,533899,inserts_per_second,0.187310,100005,0,2026-04-28T17:49:25Z
insert-throughput,sqlite-leap-python,12393,inserts_per_second,8.069033,100005,0,2026-04-28T17:49:34Z
