lane,target,value,units,timestamp
cold-start,sqlite-leap-rust,0.000416583,seconds,2026-04-28T03:36:28Z
cold-start,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:36:28Z
cold-start,sqlite-leap-go,NA,missing-binary,2026-04-28T03:36:28Z
cold-start,sqlite-mainline,0.001675290,seconds,2026-04-28T03:36:28Z
cold-start,turso,0.001661301,seconds,2026-04-28T03:36:28Z
parse-speed,sqlite-leap-rust,13255055,bytes_per_second,2026-04-28T03:36:33Z
parse-speed,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:36:33Z
parse-speed,sqlite-leap-go,NA,missing-binary,2026-04-28T03:36:33Z
parse-speed,sqlite-mainline,6071111288,bytes_per_second,2026-04-28T03:36:33Z
parse-speed,turso,5964136632,bytes_per_second,2026-04-28T03:36:33Z
select-in-memory,sqlite-leap-rust,1227012,selects_per_second,2026-04-28T03:36:33Z
select-in-memory,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:36:33Z
select-in-memory,sqlite-leap-go,NA,missing-binary,2026-04-28T03:36:33Z
select-in-memory,sqlite-mainline,56175388,selects_per_second,2026-04-28T03:36:33Z
select-in-memory,turso,56766640,selects_per_second,2026-04-28T03:36:34Z
insert-throughput,sqlite-leap-rust,38223,inserts_per_second,2026-04-28T03:36:49Z
insert-throughput,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:36:49Z
insert-throughput,sqlite-leap-go,NA,missing-binary,2026-04-28T03:36:49Z
insert-throughput,sqlite-leap-python,3529,inserts_per_second,2026-04-28T03:39:41Z
insert-throughput,sqlite-mainline,34699510,inserts_per_second,2026-04-28T03:39:41Z
insert-throughput,turso,37008020,inserts_per_second,2026-04-28T03:39:41Z
binary-size,sqlite-leap-rust,1721472,bytes,2026-04-28T03:39:41Z
binary-size,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:39:41Z
binary-size,sqlite-leap-go,NA,missing-binary,2026-04-28T03:39:41Z
binary-size,sqlite-leap-python,21134,bytes,2026-04-28T03:39:41Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-28T03:39:41Z
binary-size,turso,13486168,bytes,2026-04-28T03:39:41Z
binary-size,turso-core,6330224,bytes,2026-04-28T03:39:41Z
memory-footprint,sqlite-leap-rust,2097152,bytes,2026-04-28T03:39:41Z
memory-footprint,sqlite-leap-zig,NA,missing-binary,2026-04-28T03:39:41Z
memory-footprint,sqlite-leap-go,NA,missing-binary,2026-04-28T03:39:41Z
memory-footprint,sqlite-mainline,3407872,bytes,2026-04-28T03:39:41Z
memory-footprint,turso,3407872,bytes,2026-04-28T03:39:42Z
memory-footprint,turso-core,1572864,bytes,2026-04-28T03:39:42Z
insert-throughput,sqlite-leap-zig,118096,inserts_per_second,2026-04-28T03:48:22Z
insert-throughput,sqlite-leap-go,361200,inserts_per_second,2026-04-28T03:48:24Z
binary-size,sqlite-leap-zig,8235304,bytes,2026-04-28T03:48:24Z
binary-size,sqlite-leap-go,4609186,bytes,2026-04-28T03:48:24Z
cold-start,sqlite-leap-zig,0.000441257,seconds,2026-04-28T04:01:05Z
cold-start,sqlite-leap-go,0.000931451,seconds,2026-04-28T04:01:05Z
cold-start,sqlite-leap-python,0.098342470,seconds,2026-04-28T04:01:09Z
parse-speed,sqlite-leap-zig,23007023,bytes_per_second,2026-04-28T04:01:12Z
parse-speed,sqlite-leap-go,13779472,bytes_per_second,2026-04-28T04:01:17Z
parse-speed,sqlite-leap-python,114367,bytes_per_second,2026-04-28T04:10:27Z
select-in-memory,sqlite-leap-c,1205091,selects_per_second,2026-04-28T04:10:28Z
select-in-memory,sqlite-leap-zig,2289400,selects_per_second,2026-04-28T04:10:28Z
select-in-memory,sqlite-leap-go,1015106,selects_per_second,2026-04-28T04:10:29Z
select-in-memory,sqlite-leap-python,73712,selects_per_second,2026-04-28T04:10:37Z
memory-footprint,sqlite-leap-c,2621440,bytes,2026-04-28T04:10:37Z
memory-footprint,sqlite-leap-zig,2097152,bytes,2026-04-28T04:10:37Z
memory-footprint,sqlite-leap-go,2883584,bytes,2026-04-28T04:10:37Z
memory-footprint,sqlite-leap-python,19398656,bytes,2026-04-28T04:10:38Z
cold-start,sqlite-leap-c,0.000541141,seconds,2026-04-28T04:10:53Z
parse-speed,sqlite-leap-c,15052428,bytes_per_second,2026-04-28T04:10:57Z
insert-throughput,sqlite-leap-c,155850,inserts_per_second,2026-04-28T04:11:01Z
binary-size,sqlite-leap-c,512368,bytes,2026-04-28T04:11:01Z
