lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.003194645,seconds,2026-04-27T15:00:07Z
cold-start,sqlite-leap-rust,0.003684396,seconds,2026-04-27T15:00:08Z
cold-start,sqlite-leap-go,NA,missing-binary,2026-04-27T15:00:08Z
cold-start,sqlite-mainline,0.008591938,seconds,2026-04-27T15:00:08Z
parse-speed,sqlite-leap-c,11882469,bytes_per_second,2026-04-27T15:00:14Z
parse-speed,sqlite-leap-rust,673154,bytes_per_second,2026-04-27T15:01:49Z
parse-speed,sqlite-leap-go,NA,missing-binary,2026-04-27T15:01:49Z
parse-speed,sqlite-mainline,2881373,bytes_per_second,2026-04-27T15:02:11Z
select-in-memory,sqlite-leap-c,1113657,selects_per_second,2026-04-27T15:02:12Z
select-in-memory,sqlite-leap-rust,749901,selects_per_second,2026-04-27T15:02:13Z
select-in-memory,sqlite-leap-go,NA,missing-binary,2026-04-27T15:02:13Z
select-in-memory,sqlite-mainline,506740,selects_per_second,2026-04-27T15:02:14Z
insert-throughput,sqlite-leap-c,180050,inserts_per_second,2026-04-27T15:02:18Z
insert-throughput,sqlite-leap-rust,80494,inserts_per_second,2026-04-27T15:02:25Z
insert-throughput,sqlite-leap-zig,30156,inserts_per_second,2026-04-27T15:02:46Z
insert-throughput,sqlite-leap-go,NA,missing-binary,2026-04-27T15:02:46Z
insert-throughput,sqlite-leap-python,1605,inserts_per_second,2026-04-27T15:09:01Z
insert-throughput,sqlite-mainline,702985,inserts_per_second,2026-04-27T15:09:02Z
binary-size,sqlite-leap-c,369192,bytes,2026-04-27T15:09:03Z
binary-size,sqlite-leap-rust,1908128,bytes,2026-04-27T15:09:03Z
binary-size,sqlite-leap-zig,1171800,bytes,2026-04-27T15:09:03Z
binary-size,sqlite-leap-go,NA,missing-binary,2026-04-27T15:09:03Z
binary-size,sqlite-leap-python,21134,bytes,2026-04-27T15:09:03Z
binary-size,sqlite-mainline,1219888,bytes,2026-04-27T15:09:03Z
memory-footprint,sqlite-leap-c,2097152,bytes,2026-04-27T15:09:03Z
memory-footprint,sqlite-leap-rust,1949696,bytes,2026-04-27T15:09:03Z
memory-footprint,sqlite-leap-go,NA,missing-binary,2026-04-27T15:09:03Z
memory-footprint,sqlite-mainline,2719744,bytes,2026-04-27T15:09:03Z
cold-start,turso,0.009851833,seconds,2026-04-27T15:09:19Z
parse-speed,turso,308417,bytes_per_second,2026-04-27T15:12:43Z
select-in-memory,turso,105296,selects_per_second,2026-04-27T15:12:49Z
insert-throughput,turso,214557,inserts_per_second,2026-04-27T15:12:52Z
binary-size,turso,13486168,bytes,2026-04-27T15:12:52Z
memory-footprint,turso,16744448,bytes,2026-04-27T15:12:52Z
